complaint_id,date_received,product,issue,regulation,company,company_size,state,submitted_via,consumer_consent,narrative,disputed_amount,company_response,timely_response,consumer_disputed
C3100335,2020-07-01,Checking or savings account,Unauthorized transactions or other transaction problem,REG_E,ATLAS FINANCIAL GROUP,large,MI,Phone,Consent provided,I am attaching the statement showing the entry. I am asking for $109.96 to be returned to me. I want an explanation of how the amount was calculated. my account has been affected since 2020-05-27.,109.96,Closed with monetary relief,Yes,No
C3100428,2020-07-01,Checking or savings account,Closing an account,REG_E,SUMMIT CARD SERVICES,mid,CA,Web,Consent provided,I am asking for $489.69 to be returned to me. I filed this complaint because the company stopped responding. my remaining balance was never returned.,489.69,Closed with explanation,Yes,No
C3100646,2020-07-01,Checking or savings account,Managing an account,REG_E,MERIDIAN NATIONAL BANK,large,NJ,Web,Consent provided,my direct deposit went to the wrong account. the response I received was a form letter. the amount involved is $240.17.,240.17,Closed with monetary relief,Yes,No
C3103427,2020-07-01,Credit card,"Other features, terms, or problems",REG_Z,ATLAS FINANCIAL GROUP,large,NJ,Referral,Consent provided,I asked for a supervisor and was refused. a benefit I was promised at application does not exist. the representative put me on hold for over an hour. my credit limit was cut with no explanation.,7.54,Closed with monetary relief,Yes,No
C3105609,2020-07-01,Checking or savings account,Closing an account,REG_E,VERITY DATA SOLUTIONS,small,NC,Web,Consent provided,the fee involved was $58.56. the fee schedule was never given to me before the account opened. the response I received was a form letter. the bank closed my account and would not say why. I want this resolved before it affects my credit. the account was closed while a dispute was still open.,58.56,Closed with monetary relief,Yes,No
C3107237,2020-07-01,Checking or savings account,Managing an account,REG_E,CROWN SAVINGS & TRUST,large,OH,Web,Consent provided,I contacted the company on 2020-06-26 and got nowhere. the bank changed my account terms without notice. my direct deposit went to the wrong account. I need this corrected in writing. I have called 4 times about this.,239.58,Closed with non-monetary relief,Yes,No
C3107386,2020-07-01,Debt collection,Communication tactics,FDCPA,HARBOR CREDIT UNION,mid,WA,Phone,Consent provided,the collector called me repeatedly in a single day. I am asking the regulator to look at this. the representative put me on hold for over an hour. I have called 5 times about this. the collector is chasing a debt that was already paid. I have sent documents twice and they say they never arrived.,,Closed with non-monetary relief,Yes,No
C3100872,2020-07-02,Credit reporting,Incorrect information on your report,FCRA,VERITY DATA SOLUTIONS,small,NJ,Postal mail,Consent provided,I received a letter that did not address what I asked. nobody would escalate my case. I was transferred between 5 departments. the company acknowledged the problem on the phone but not in writing. an account on my credit report is not mine.,,Closed with non-monetary relief,Yes,No
C3102583,2020-07-02,Credit reporting,Problem with a company's investigation into an existing problem,FCRA,PACIFIC UNION BANCORP,large,MA,Postal mail,Consent provided,I want this resolved before it affects my credit. I received a form letter saying the item was verified. this is causing me real financial hardship. I received a letter that did not address what I asked.,,Closed with explanation,Yes,No
C3103028,2020-07-02,"Payday loan, title loan, or personal loan",Struggling to repay your loan,REG_Z,MERIDIAN NATIONAL BANK,large,IL,Referral,Consent provided,this has been going on since 2020-04-14. I have kept records of every call. I filed this complaint because the company stopped responding. payments kept being taken after I asked them to stop. the response I received was a form letter.,26.6,Closed with monetary relief,Yes,No
