application_id,month,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,credit_risk_score,email_is_free,phone_home_valid,phone_mobile_valid,has_other_cards,proposed_credit_limit,foreign_request,session_length_in_minutes,device_distinct_emails_8w,device_fraud_count,keep_alive_session,bank_months_count,fraud_bool
A700000,0,0.31,0.553,6,72,30,7.476,-1.0,3279,3521.4,11488.8,13623.6,2193,9,118,1,0,1,0,500,0,5.34,1,0,0,-1,0
A700001,0,0.43,0.939,48,18,70,6.194,20.23,3457,6605.9,23153.6,22202.1,1536,39,130,1,0,1,0,1000,0,4.31,1,0,1,31,0
A700002,0,0.43,0.553,48,3,30,1.222,-1.0,1799,6711.5,33356.5,43436.9,839,31,132,0,1,1,1,500,0,6.3,1,0,1,14,0
A700003,0,0.14,0.714,6,9,70,1.516,25.28,3060,7340.0,35947.1,40103.7,1382,27,114,1,0,1,0,2000,0,8.21,3,0,1,8,0
A700004,0,0.13,0.145,24,3,40,4.196,-1.0,2497,7020.4,37647.1,49491.1,739,29,191,1,0,1,0,1000,0,1.73,2,0,0,8,0
A700005,0,0.36,0.478,48,72,20,0.329,12.09,1391,10520.9,39818.1,50666.3,2218,28,116,0,1,1,1,500,0,5.31,1,1,1,8,0
A700006,0,0.32,0.001,24,9,20,5.284,11.43,5143,5923.6,18260.0,14478.0,1487,40,92,1,1,1,0,1000,0,12.23,2,0,0,-1,0
A700007,0,0.24,0.429,24,3,30,0.376,7.9,1428,3776.2,20180.5,26059.8,1936,14,101,0,1,1,0,200,0,0.53,1,1,0,-1,0
A700008,0,0.74,0.777,24,3,20,1.406,-1.0,1553,6163.7,32988.2,33680.4,1300,0,167,0,0,1,0,1000,0,6.05,5,0,1,14,0
A700009,0,0.97,0.644,-1,72,20,0.86,7.45,1083,3068.0,9411.5,10352.0,1219,2,184,1,0,1,0,1000,0,6.4,1,0,1,-1,0
A700010,0,0.52,0.829,48,-1,40,1.719,6.97,2703,7795.7,32690.0,30372.0,1101,17,148,1,1,1,0,1500,0,7.66,1,0,1,22,0
A700011,0,0.18,0.842,6,9,40,2.22,-1.0,5116,10399.5,47151.5,37513.1,1776,6,227,0,0,1,0,2000,0,3.26,1,0,1,-1,0
A700012,0,0.2,0.317,48,9,30,0.857,-1.0,4303,7166.8,33803.3,32318.0,1465,2,53,1,1,1,0,1500,0,1.51,2,0,1,-1,0
A700013,0,0.4,0.761,48,72,30,2.452,2.65,3798,2570.3,10272.7,10008.7,320,22,206,1,0,1,0,1000,0,6.54,1,0,0,-1,0
A700014,0,0.8,0.0,96,9,30,0.484,-1.0,3730,11067.2,44286.3,52679.4,494,36,175,0,0,0,1,2000,0,2.37,1,0,0,31,0
A700015,0,0.84,0.769,96,36,40,8.952,12.76,359,1835.6,7806.6,9363.2,1233,4,255,0,0,1,0,1500,1,4.14,1,0,1,22,0
A700016,0,0.38,0.109,6,9,60,3.108,5.7,2785,7805.4,28874.0,39376.9,906,0,236,0,1,0,0,1500,0,2.67,1,0,0,8,0
A700017,0,0.52,0.204,12,72,70,1.793,-1.0,1845,3237.6,17589.7,23264.0,24,4,218,1,0,1,0,2000,0,1.05,1,0,1,31,0
A700018,0,0.42,0.159,48,-1,40,4.0,7.82,2707,7317.7,32811.4,27521.8,1097,1,131,1,0,0,1,500,0,5.88,1,0,0,-1,0
A700019,0,0.72,0.748,-1,18,10,4.448,14.7,3003,6250.1,31914.8,32698.1,1221,20,224,1,0,1,0,1500,0,12.28,1,0,1,8,0
A700020,0,0.75,0.595,12,18,20,0.179,10.46,1172,8549.4,28457.9,29552.3,423,31,130,0,1,1,0,1500,0,2.0,5,0,1,22,0
A700021,0,0.7,0.637,48,-1,60,5.67,8.12,471,1750.1,5680.7,7135.5,1916,36,60,1,1,1,1,2000,0,6.42,1,0,0,-1,0
A700022,0,0.94,0.017,12,18,40,4.562,-1.0,2556,10023.3,51410.8,70006.7,1614,18,157,1,1,1,0,1000,0,8.42,3,0,1,8,0
A700023,0,0.37,0.886,24,9,30,2.325,-1.0,2400,2634.6,11987.2,14292.8,2084,36,183,1,1,1,0,2000,0,3.15,1,0,0,8,0
A700024,0,0.64,0.447,24,-1,40,1.317,13.87,1874,1632.6,7214.9,5542.6,2040,37,241,1,1,1,0,1500,0,6.34,1,0,0,8,0
A700025,0,0.4,0.105,6,36,50,2.828,21.84,444,5994.0,32429.4,33009.9,369,26,204,0,0,1,0,200,0,9.22,1,0,1,8,0
A700026,0,0.68,0.016,-1,120,70,1.359,13.91,869,4678.3,18131.1,20935.0,2353,11,208,1,0,1,0,2000,0,10.05,1,0,0,-1,0
A700027,0,0.46,0.971,24,3,30,6.583,31.99,1817,8995.8,33738.6,46914.9,874,4,15,0,0,1,0,2000,0,3.57,1,0,0,3,0
A700028,0,0.58,0.382,6,3,10,1.503,19.68,4049,7522.4,37948.4,41505.6,1930,13,211,1,0,1,1,1000,1,7.48,2,0,0,8,0
A700029,0,0.8,0.495,48,36,10,4.282,11.72,2700,6708.1,34620.4,31177.6,323,7,126,1,1,1,0,500,0,2.85,2,0,1,3,0
A700030,0,0.45,0.153,12,3,30,3.042,7.8,4215,3168.8,15602.4,14532.2,1792,7,77,1,0,1,0,200,0,0.9,2,0,1,8,0
A700031,0,0.85,0.522,96,36,20,5.811,10.2,2856,5781.3,17737.0,16336.8,930,33,168,0,0,0,0,200,0,12.94,1,0,1,8,0
